Survey_Priority_ID,Order,Region,WMU,Budget,YearsSinceRevised,RevisedYearLast,TargetYrs,YearProjectedtobeFlown,EOMSD,2019_Priority,Comments,WMUlist.x,AMBI,BISH,MOGO,MOOS,MUDE,PRON,WAPT,WTDE,SL_num,Drawnum,speciesNum,quota,applicants,drawn,minPriority,maxPriority,medPriority,muPriority,drw_cde_list,spp_list,WMUlist.y,GL.Season_Cnt,SL.SeasonCnt,M_Biomass,F_Biomass,YOY_Biomass,Spplist,TotalKill,Total_Biomass,LicenceCount,WMUlist,IntervalFactor
59,7,SSR,306,10,11,2013,5,2020,OPS,2,if flown as 304-310 superunit reduced total cost to 65K,306,,1,,1,1,,1,,5,4,3,160,1298,160,1,15,1,1,33|13|14|19,MOOS|MUDE|WAPT,306,3,3,19371.98124,13508.10167,0,MUDE|WAPT,170.5559708,32880.0829,4,306,5
60,8,SSR,308,16.2,22,2002,5,2020,OPS,2,if flown as 304-310 superunit reduced total cost to 65K,308,,1,,1,,,1,,3,2,2,72,1026,72,3,11,3,3,33|19,MOOS|WAPT,308,2,2,24586.8841,8097.185498,0,BISH|WAPT,112.0391672,32684.0696,4,308,5
61,39,SSR,310,10,16,2008,5,2020,OPS,2,"Budget was 30K, if flown as superunit reduced, check last flown - 2013 was old, SSR table has 2008",310,,,,,,,1,,2,1,1,190,388,192,0,1,0,0,19,WAPT,310,1,1,14184.74083,10035.57647,0,WAPT,87.96025626,24220.3173,5,310,5
62,74,SSR,312,30,9,2015,5,2021,OPS,,,312,,,,1,1,,1,1,7,5,3,1490,2786,1494,0,3,0,0,27|33|13|14|19,MOOS|MUDE|WAPT,312,3,3,63435.24197,30065.88941,2415.343942,MUDE|WAPT,495.8069671,95916.47532,5,312,5
63,119,SSR,314,30,5,2019,5,2024,OPS,,,314,,,,1,1,,1,1,4,4,2,522,2210,524,1,3,1,1,27|33|13|14,MOOS|MUDE,314,2,2,7173.658537,3960.742794,0,MUDE,132.094235,11134.40133,4,314,5
64,120,SSR,316,30,5,2019,5,2024,OPS,,,316,,,,1,,,,1,2,2,1,66,575,66,2,4,2,2,27|33,MOOS,316,,,,,,,,,3,316,5
65,141,RDNS,318,15,6,2018,5,2024,OPS,3,,318,,,,1,,,,,2,2,1,17,646,17,8,9,8,8,27|33,MOOS,318,,,,,,,,,5,318,5
66,121,RDNS,320,15,5,2019,5,2024,OPS,3,,320,,,,1,1,,,1,4,4,2,118,980,118,0,10,0,0,27|33|13|14,MOOS|MUDE,320,2,2,1710,1384.272983,0,MUDE,37.77532833,3094.272983,4,320,5
67,75,RDNS,322,15,5,2019,5,2021,OPS,3,,322,,,,1,1,,,1,4,4,2,149,1215,149,1,7,1,1,27|33|13|14,MOOS|MUDE,322,2,2,1710,1388.333333,192.8353659,MUDE,41.33943089,3291.168699,4,322,5
68,142,RDNS,324,15,6,2018,5,2024,OPS,3,,324,,,,1,,,,,2,2,1,7,406,7,8,10,8,8,27|33,MOOS,324,,,,,,,,,5,324,5
